Rating,Address,ReviewDate,Description,Cleaned_Description,BERT_Sentiment_Label,BERT_Sentiment_Score,,,,
4,"23610 De Anza Rd Temecula, CA 92590",2022-04-19,Ieva is a very dedicated buyer agent.  She is available anytime we need to consult with her. She provided her expertise and honest advices on the homes we were interested in. She worked with us step by step during our escrow process. You will be pleased with Ieva as your agent.,ieva dedicated buyer agent available anytime need consult provide expertise honest advice home interested work step step escrow process pleased ieva agent,POSITIVE,0.996336817741394,,,,
4,"17260 Caminito Canasto, San Diego, CA 92127",2016-03-02,"Laurie Greenfield was passionate about helping me find my new home, and she supported my search requests when I was picky, or when I changed my mind, or just wanted to see one more. She has great followup and I would recommend to friends.",laurie greenfield passionate help find new home support search request picky change mind want great followup recommend friend,POSITIVE,0.99284428358078,,,,
4,"909 S Caswell Ave, Compton, CA 90220",2014-08-19,Over all for Fred Sed not knowing the Los Angeles area I believe that he did a grata job improving his knowledge for the greater Los Angeles area. Fred was very informative on get us the information we needed when we needed it. Fred made sure we saw the house that where available on the market the day they was available for viewing. However due to the size of our bed we had a difficult time finding a house that was big enough to fit our bed. The market at the time has really nice houses but the bedroom sizing was not great. We explain to Fred  that we needed an extra large room to accommodate our bed an Fred went through the extra lengths to make sure we had a room big enough to fit the bed. Fred gave us the best service for us as first time buyers. He walk us through every little detail. He gave us all attention and time. We are proud to have choose to work with Fred Sed on our home purchase.,fred se know los angeles area believe grata job improve knowledge great los angeles area fred informative information need need fred sure see house available market day available view size bed difficult time find house big fit bed market time nice house bedroom size great explain fre need extra large room accommodate bed fred go extra length sure room big fit bed fred give good service time buyer walk little detail give attention time proud choose work fred se home purchase,POSITIVE,0.984434187412262,,,,
4,"130 Hawthorne Way, San Jose, CA 95110",2011-10-01,Agent was very flexible with timing and dealing with paperwork while out of country and out of state.  We were able to close on a short sale in less than one month and were very happy with the purchase.,agent flexible timing deal paperwork country state able close short sale month happy purchase,POSITIVE,0.989108920097351,,,,
4,"13323 Rancho Penasquitos Blvd UNIT 202, San Diego, CA 92129",2016-07-24,"She is wonderful! Pleasant and patient in helping us find our home. She worked even into the late evening . I told her what we were looking for, and she it found exactly for us. Very satisfied",wonderful pleasant patient help find home work late evening tell look find exactly satisfied,POSITIVE,0.999865770339966,,,,
4,"4751 E Pacific Coast Hwy APT 106, Long Beach, CA 90804",2019-07-03,"While we weren't new to the buying experience, we were new to SoCal. Valerie understood our budget and our goals and worked with us to get us the property that was the best fit. We highly recommend her.",new buying experience new socal valerie understand budget goal work property good fit highly recommend,POSITIVE,0.99928891658783,,,,
4,"3202 Penzance Ave, Camarillo, CA 93012",2013-10-15,"Chris was our real estate agent, representing us as buyers when we purchased our new home.  Chris was able to move us through the process seamlessly.  He is very detail oriented and did a great job ensuring all paperwork was filled out correctly and submitted on time. Chris was exceptionally good at working with the seller's agent.  I believe his ability to form a trusting relationship with this agent helped us secure the house.  (We were in an extremely competitive bidding war!)  Chris also gave us excellent advice on how to compete effectively to get our new home.  I don't think we would have gotten it without him.",chris real estate agent represent buyer purchase new home chris able process seamlessly detail orient great job ensure paperwork fill correctly submit time chris exceptionally good work seller agent believe ability form trusting relationship agent help secure house extremely competitive bidding war chris give excellent advice compete effectively new home think get,POSITIVE,0.999563276767731,,,,
4,"7812 Stoneleaf Rd # 2, San Ramon, CA 94582",2013-10-25,"Jane helped us find the perfect house in the East Bay Area. We were unsure exactly where we wanted to be so she showed us houses from Walnut Creek to Pleasanton. She was very patient and tired to meet all of our wishes. She was very good at being available in the evenings as well as on the weekends. Jane handled the negotiations with ease and coordinated all the inspections and various checks and forms needed throughout the process. She even ""hounded"" our lender when they weren't performing in the time frames we needed.",jane help find perfect house east bay area unsure exactly want show house walnut creek pleasanton patient tired meet wish good available evening weekend jane handle negotiation ease coordinate inspection check form need process hound lender perform time frame need,NEGATIVE,0.963976919651032,,,,
4,"999 E Mountain St, Pasadena, CA 91104",2014-05-13,"Laura helped my wife and I buy our first home.  We know that we are fairly demanding but Laura was patient with us through the process and responsive to our barrage of questions.  Our search took approximately three months and we made a couple of offers during that time: the first was not successful, but the second one was.  The escrow process was not straightforward, however, as the seller's agent was inexperienced and Laura had to do double duty in educating the agent too.  Laura was all-around professional and we enjoyed working with her - the only area that we think could have been stronger was with final price negotiations.  Laura also recommended a very good local broker for us, which was very helpful.",laura help wife buy home know fairly demanding laura patient process responsive barrage question search take approximately month couple offer time successful second escrow process straightforward seller agent inexperienced laura double duty educate agent laura professional enjoy work area think strong final price negotiation laura recommend good local broker helpful,POSITIVE,0.982856929302216,,,,
4,"4305 20th St, San Francisco, CA 94114",2010-12-02,"Kevin was with us every step of the way in buying our home, always listening to our needs, and going above and beyond to make sure we got not just what we wanted but what we needed. Kevin expertly helped us navigate the SF real estate market, always providing the key information we needed to make good decisions. I can say categorically that we would not have found our dream home in SF without Kevin.",kevin step way buy home listen need go sure get want need kevin expertly help navigate sf real estate market provide key information need good decision categorically find dream home sf kevin,POSITIVE,0.993053019046783,,,,
4,"416 Fountain Ave Pacific Grove, CA 93950",2022-03-04,"As a buyers' agent, Ana is a fantastic negotiator! In representing us during our real estate transaction, Ana was firm yet kind with the seller, saving us thousands of dollars. Ana is also a thorough and a responsive real estate professional, especially when matters come up. As a resident of the area, she also has an extensive knowledge of the Monterey / California coast. Additionally, with legal matters, Ana is sharp! After the purchase of our home, we experienced a home inspection report violation(s). Ana proactively sought out the inspector and is still currently dealing with the inspector's legal obligations to resolve the issue through his/her private insurance company. Given the opportunity, I would highly recommend Ana as a real estate professional. Our experience with her was wonderful.",buyer agent ana fantastic negotiator represent real estate transaction ana firm kind seller save thousand dollar ana thorough responsive real estate professional especially matter come resident area extensive knowledge monterey california coast additionally legal matter ana sharp purchase home experience home inspection report ana proactively seek inspector currently deal inspector legal obligation resolve issue private insurance company give opportunity highly recommend ana real estate professional experience wonderful,POSITIVE,0.999529838562012,,,,
4,"3136 N Naomi St, Burbank, CA 91504",2014-08-20,"Doug has a lot of knowledge about the Burbank, Glendale and surrounding areas. He is honest and will tell you if a house or a condo is not a good buy. There were a couple properties he steered us from and we finally found our dream home.",doug lot knowledge burbank glendale surround area honest tell house condo good buy couple property steer finally find dream home,POSITIVE,0.998178958892822,,,,
4,"1735 Bryn Mawr Ave, Santa Monica, CA 90405",2017-12-05,"We worked with Kate and though it took us over a year and a half to find a home, she stuck with us through it and we are so happy with our home. We appreciated that the team was well connected and helped us get in to see homes before they hit market.",work kate take year half find home stick happy home appreciate team connected help home hit market,POSITIVE,0.995278835296631,,,,
4,"17006 Via Perdido, San Lorenzo, CA 94580",2016-03-23,"Jason was our agent helping us buy a home in the east bay. He is very personable and I found it a pleasure to work with him. We were first time home buyers and had a lot of questions, but Jason walked us through it. He was available and responded immediately to all my communications, day or night. When our bank's appraisal fell short of the offered price, he was able to negotiate a new price with the sellers that met our needs. I would recommend his help to anyone looking for easy guidance with the buying process.",jason agent help buy home east bay personable find pleasure work time home buyer lot question jason walk available respond immediately communication day night bank appraisal fall short offer price able negotiate new price seller meet need recommend help look easy guidance buying process,NEGATIVE,0.992068886756897,,,,
5,"10123 Rio Hondo Pkwy, El Monte, CA 91733",2012-07-22,"Our family has worked with Victor for over a year he represented in the purchase of a rental property.  Victor advised us to submit an fair market price which was accepted by the seller.  Once escrow opened, Victor stayed on top of the Escrow company to facilitate any issues and in some cases doing that the sales agent should have done.<br/><br/>We are still working with Victor to purchase another property.  Victor monitors listings that meet our criteria and sends update of the latest listings in the areas where we are interested.    <br/><br/>He is very knowledgeable of the areas and has an excellent sense of market values.  He is also aware of our specific criteria and provides us frequent updates on the market.",family work victor year represent purchase rental property victor advise submit fair market price accept seller escrow open victor stay escrow company facilitate issue case sale agent work victor purchase property victor monitor listing meet criterion send update late listing area interested knowledgeable area excellent sense market value aware specific criterion provide frequent update market,POSITIVE,0.970694184303284,,,,
5,"1314 Brown St, Martinez, CA 94553",2020-08-23,"Cynthia blew us away with how helpful, patient and knowledgeable she was while we were searching for our first home to purchase. She was in constant communication and helped us find and close on our dream home during the busy holiday season. The amount of paperwork and contracts can be very daunting for a first time buyer but she came to us and walked us through everything step by step, even bringing gifts to help entertain our toddler during our meetings. We had such a great experience and are so happy with our decision to work with Cynthia. We highly recommend her to anyone in need of buying or selling a home. Thank you Cynthia!",cynthia blow away helpful patient knowledgeable search home purchase constant communication help find close dream home busy holiday season paperwork contract daunting time buyer come walk step step bring gift help entertain toddler meeting great experience happy decision work cynthia highly recommend need buy sell home thank cynthia,POSITIVE,0.998630523681641,,,,
5,"17975 Climax Rd Jackson, CA 95642",2023-10-06,"Janelle is an outstanding realtor. She was present and available throughout the entire process. Her negotiation skills are creative and top notch. Janelle was in constant contact with the seller, our mortgage broker, the title company, and inspectors. She made everything run smoothly. We are a family of three with one more on the way and we are so excited to be moving into our new home. From finding a home that was not even on the market, to closing in under thirty days. Thank you Janelle, we could not have done this without you.",janelle outstanding realtor present available entire process negotiation skill creative notch janelle constant contact seller mortgage broker title company inspector run smoothly family way excited move new home find home market close thirty day thank janelle,POSITIVE,0.999597251415253,,,,
5,"1945 W 147th St Gardena, CA 90249",2022-11-11,"Katelyn is AWESOME!   She helped us buy our first house when the market was crazy.  She guided us through the process with grace and ease.  Not only did she really ground us during this crazy process, she was such a fun cheerleader, therapist, partner and friend.  I would highly recommend Katelyn for anyone that wants to work with a kick butt agent.  She is amazing and can't say enough about her.",katelyn awesome help buy house market crazy guide process grace ease ground crazy process fun cheerleader therapist partner friend highly recommend katelyn want work kick butt agent amazing,POSITIVE,0.999605476856232,,,,
5,"1673 Walnut Heights Ln Concord, CA 94519",2022-09-30,"If you are looking for a realtor that is willing to work for you, look no further. Dania was the most important piece of the puzzle when buying our home. She truly cares and goes out of her way to make things possible. There isn't words enough for the gratitude we have for her. We were relocating from San Diego to the Bay Area which is stressful enough compounded with house buying as well. She walked us through every step of the process. She is positive smart professional friendly easy to talk to and really wanted to find the best fit for us. Her level of service is superior. We wish there were more than 5 stars to give because she surpassed all our expectations. Thanks Dania you truly are one of a kind!",look realtor willing work look dania important piece puzzle buy home truly care go way thing possible word gratitude relocate san diego bay area stressful compound house buying walk step process positive smart professional friendly easy talk want find good fit level service superior wish 5 star surpass expectation thank dania truly kind,POSITIVE,0.9992995262146,,,,
5,"888 Cherrywood Way #9 El Cajon, CA 92021",2024-02-27,"Ursula was my realtor  she did an amazing job finding our home within our budget. She work amazingly to get us the best deal. She was true and honest during our process as first time buyers. Overall great experience , always flexible within our schedule and always providing great service.",ursula realtor amazing job find home budget work amazingly good deal true honest process time buyer overall great experience flexible schedule provide great service,POSITIVE,0.999740302562714,,,,
5,"3921 Boulder Dr Jurupa Valley, CA 92509",2021-11-18,"Mayra guided my family through the home buying process with elegance and made it so that all we had to do was sign papers and go to the inspections. As far as negotiating the home price, we were looking to place a high bid when the bid we came across due to cross referencing prices, cheaper, was accepted! Mayra is amazing and I will recommend her to anyone I know purchasing a house in the future!",mayra guide family home buying process elegance sign paper inspection far negotiate home price look place high bid bid come cross reference price cheap accept mayra amazing recommend know purchase house future,POSITIVE,0.985398530960083,,,,
5,"1327 S Meyler St San Pedro, CA 90731",2023-01-10,"Tandi is a supernova. She was calm, cool, and collected throughout our entire home-buying experience. Her measured professionalism re-centered us along the way, even during high-stress moments. She was always patient and responsive, even when it felt like we were asking a million stupid questions. Tandi's experience made us feel confident, she always got us answers in a timely fashion and got to the bottom of anything she didn't already know. Strong follow-through and clear communication every step of the way. We recommend Tandi 100%!",tandi supernova calm cool collect entire home buying experience measured professionalism center way high stress moment patient responsive feel like ask million stupid question tandi experience feel confident get answer timely fashion get know strong follow clear communication step way recommend tandi 100,NEGATIVE,0.544111251831055,,,,
5,"1632 Highland Way, Brentwood, CA 94513",2014-07-08,"My husband and I were very fortunate to have worked with a Brentwood local and excellent realtor, Denise McGrew. (Us) Not knowing much at all about the area, Denise quickly made us feel comfortable. She is professional, skillful and very knowledgeable of the area, the market and in negotiating FOR us, but most importantly she really followed through with everything. We never felt like ""when are we going to hear from her again?"", she was prompt, tactical and realistic in helping us find the perfect home. I would recommend her to all my friends, family and even people I don't know. She is an excellent realtor and most importantly - she listens and understands our demands;). Because believe me, I can be quite critical and am not always easy to please!",husband fortunate work brentwood local excellent realtor denise mcgrew know area denise quickly feel comfortable professional skillful knowledgeable area market negotiate importantly follow feel like go hear prompt tactical realistic help find perfect home recommend friend family people know excellent realtor importantly listen understand demand believe critical easy,POSITIVE,0.998200297355652,,,,
5,"233 Vista Roma Way San Jose, CA 95136",2022-01-12,"Purchasing a home can be a stressful event.When you're making your big decision, you want someone who will be a good listener, market savvy, and a strong confident negotiator. The Bay Area is a tough market and with low-interest rates, well-presented homes were selling competitively. I needed someone that could execute on a moment's notice to ensure I got the home of my dreams.Julianna exceeded all expectations in this challenging market. Within a moment's notice, she was able to negotiate a purchase on a home that had 6 strong offers within the first 24 hours of listing. During the process, Julianna quickly aligned with my tastes, provided reassurance, and also guidance for the market. I always felt that she could be counted on and would do her best.I couldn't Julianna enough for your home purchase and hope you can share the same quality result as I have!",purchase home stressful make big decision want good listener market savvy strong confident negotiator bay area tough market low interest rate present home sell competitively need execute moment notice ensure get home exceed expectation challenging market moment notice able negotiate purchase home 6 strong offer 24 hour list process julianna quickly align taste provide reassurance guidance market feel count julianna home purchase hope share quality result,POSITIVE,0.695204734802246,,,,
5,"166 Acari Dr Los Angeles, CA 90049",2024-03-14,"Lisa is an absolutely amazing realtor.  She really really cares about her clients and turning every transaction into a win/win experience.  But what sets her apart is her neighborhood knowledge, her house by house micro information; she is a true real estate savant.  Plus, she is a technical wizard, fluent in every aspect of each transaction.  She always operates in a highly professional manner with perfect communication skills.  My wife and I are huge fans of Lisa and her trusted co worker Michael K.  If you are buying or selling, you will make a smart choice with Lisa Mansfield.",lisa absolutely amazing realtor care client turn transaction win win experience set apart neighborhood knowledge house house micro information true real estate savant plus technical wizard fluent aspect transaction operate highly professional manner perfect communication skill wife huge fan lisa trust co worker michael buy sell smart choice lisa mansfield,POSITIVE,0.999501347541809,,,,
5,"29476 Mcvicker Canyon Park Rd, Lake Elsinore, CA 92530",2019-04-26,"Ryan Schramm and his team are incredible and were a joy to work with.  We had recently had a negative experience with another realtor and were close to giving up when we found Ryan. He, Lyndsey and Courtney were professional, optimistic, and set on finding my fiancee and me our forever home without pressure. We genuinely felt that Ryan had our back and was going to do everything in his power to get us the house we wanted at the best price. We did find our home, and could not be happier! Although we did not buy in San Clemente, Ryan and his team showed their knowledge as professional agents and did their homework to find the best house for us. Ryan is an honest, hardworking, and trustworthy real estate agent who I would refer to anyone.",ryan schramm team incredible joy work recently negative experience realtor close give find ryan lyndsey courtney professional optimistic set find fiancee forever home pressure genuinely feel ryan go power house want good price find home happy buy san clemente ryan team show knowledge professional agent homework find good house ryan honest hardworking trustworthy real estate agent refer,POSITIVE,0.995433986186981,,,,
5,"1384 Westminster Pl Escondido, CA 92027",2022-06-10,Michael was able to work his magic and provide me the best service I could have asked for as a first time home buyer! He walked me through the process and worked extremely hard/fast in a tough market!,michael able work magic provide good service ask time home buyer walk process work extremely hard fast tough market,NEGATIVE,0.665413022041321,,,,
5,"16141 Hampson Pl, Ramona, CA 92065",2020-09-05,"Hillary helped us buy our first home during the pandemic and was always available to answer any questions my husband and I had. Hillary is so incredibly knowledgeable and so great to work with! She explained every step of the process to us and helped calm my nerves with some friendly lighthearted humor when the waiting really got to us!! She held our two year old daughter when we had to bring her to a showing and kept her entertained and happy the entire time. Hillary's ""get it done attitude"" got us our dream home when competing against multiple offers and we are so appreciative to her!! I highly recommend her to anyone and look forward to working with her again!!",hillary help buy home pandemic available answer question husband hillary incredibly knowledgeable great work explain step process help calm nerve friendly lighthearte humor waiting get hold year old daughter bring showing keep entertained happy entire time hillary attitude get dream home compete multiple offer appreciative highly recommend look forward work,POSITIVE,0.999708592891693,,,,
5,"4121 Welsh Way, Paso Robles, CA 93446",2012-09-04,Very accomodating. You could not ask for a better agent to represent you. I am totally and completely happy with all that Jim did for us. We feel Jim went above and beyond the norm in the 2 plus years we were looking for a house with him.Thanks again Jim,accomodating ask well agent represent totally completely happy jim feel jim go norm 2 plus year look house jim,POSITIVE,0.996792376041412,,,,
5,"30870 Midnight Moon Ln Murrieta, CA 92563",2022-04-21,"We got the 1st house we wanted and had a great experience. She was very responsive and made the process seamless. Moving from out of town, it was great to have a realtor like this. Highly recommend!",get 1st house want great experience responsive process seamless move town great realtor like highly recommend,POSITIVE,0.999565422534943,,,,
5,"1119 Reed Ave #4 San Diego, CA 92109",2022-03-08,"I highly recommend Dionne Luna for selling your home or buying a home, Dionne explained the processes a walked me through each step of the way. I’m very happy with my purchase and the purchase price. If and when I decide to sell or purchase another property, I will most definitely reach out to Dionne Luna to guide me through the processes once again.",highly recommend dionne luna sell home buy home dionne explain process walk step way happy purchase purchase price decide sell purchase property definitely reach dionne luna guide process,POSITIVE,0.999442994594574,,,,
5,"17 Clarewood Ln, Oakland, CA 94618",2018-11-08,"Doug is nothing short of a fantastic real estate agent, and if your goal is to acquire or sell property in the East Bay, my family and I would highly recommend working with him. Besides being extremely knowledgable of local markets, Doug is an expert with all things regarding process and a shrewd negotiator. He helped us purchase our first home, and although we were confronted to the rising prices of a seller's market, he managed to get us through it quickly and advantageously.",doug short fantastic real estate agent goal acquire sell property east bay family highly recommend work extremely knowledgable local market doug expert thing process shrewd negotiator help purchase home confront rise price seller market manage quickly advantageously,POSITIVE,0.995629787445068,,,,
5,"7935 Dumond Dr, Fontana, CA 92336",2017-02-01,"Words cannot explain how grateful my Wife, patty and I are for what Fredy Ureta and his team did for us. We recently bought a home through Fredy as our agent and found it to be a great experience! ! As first time buyers, we were excited and nervous all at the same time, but Fredy walked us  through and answered all of our questions no matter how silly they were. His assistant was always so sweet and made sure we were updated every step of the way. As we finalize the sale, Fredy even gave us referrals for remodeling. We recommend Fredy to anyone looking to buy or sell.",word explain grateful wife patty fredy ureta team recently buy home fredy agent find great experience time buyer excited nervous time fredy walk answer question matter silly assistant sweet sure update step way finalize sale fredy give referral remodeling recommend fredy look buy sell,POSITIVE,0.991655826568604,,,,
